Formula
Dis Manibus sacrum
Dis Manibus
hic situs est
hic siti sunt
hic sita est
sita est hic
situs est hic
sita hic
hic sita
hic situs
ossa hic sita sunt
hic est situs
hic est sita
hic sepultus
hic sepulta
hic sita sunt
sit tibi terra levis
sit vobis terra levis
tibi terra levis
terra tibi levis sit
terra levis
sit terra levis
tibi terra levis sit
sit tibi terra
opto sit tibi terra levis
te rogo praeteriens dicas sit tibi terra levis
levis terra tibi sit
ossa tibi bene quiescant
ossa bene quiescant
ossa
ossa eius bene quiescant
ossa ei bene quiescant
hic ossa sita sunt
hic ossa sita
Manibus
Manibus sacrum
DDis Manibus
Manibus dis
Sacrum dis Manibus
Dis inferis Manibus sacrum
Dibus Manibus
Dis omnibus Manibus
Dis sacrum Manibus
hoc monumentum heredem non sequetur
hoc monumentum heredem exterum non sequetur
hoc monumentum sive sepulcrum est heredem non sequetur
Hoc monumentum exterum heredem non sequetur
heredem non sequetur
monumentum heredem non sequetur
hoc monumentum sive sepulcrum heredem non sequetur
hoc monumentum heredem non sequetur nec locus sepulturae
non sequetur
hoc monumentum sive sepulcrum exterum heredem non sequetur
hoc monumentum sive locus heredem non sequetur
hoc monumentum heredem non sequitur
hoc monumentum heredem sequetur
hoc sepulcrum heredem non sequetur
haec arca heredem non sequetur
hic monumentum heredem non sequetur
huic monumento dolus malus abesto
monumento dolus malus abesto
huic monumentum dolus malus abesto
abesto
dolus malus abesto
abesto dolus malus huic monumento
abesto domus malo
de hoc sepulcro dolus malus abesto
bene merenti
merenti
fecit
fecerunt
posuit
posuerunt
faciendum curavit
ponendum curavit
de sua pecunia
faciendum curaverunt
de suo
curavit faciendum
de pecunia sua
vivus
viva
vivi
vivae
vicsit
vixit
qui vixit
quae vixit
vixsit
qui vixsit
quae vixsit
annos
annorum
annis
militavit
militaverunt
pius
pia
pientissimae
pientissimo
piissimae
piissimo
pius in suis
cara in suis
pia in suis
in suis
ecce iaceret sepultus
hic bene iaceat
hic est abscondita iacet
hic iacet
hic iacet sepulta
hic iacet sepultus
hic cubat
ossa tibi bene cubent
ossa bene cubent
bene cubet
bene cubent
hic bene cubet
hic bene cubat
hic tu bene cubes
ossa volo bene cubent
tibi ossa bene cubent
adquiescit
bene merens
hic adquiescit
dedicavit
dedicaverunt
sibi
sibi et suis
fieri iussit
sibi et posteris
sibi posterisque
sibi suis posterisque
sibi suis posterisque suorum
sibi suisque
sibi suisque posterisque eorum omnibus
bene merentibus
libertis libertabusque
libertis libertabus posterisque
libertis libertabusque posterisque eorum
libertis
libertis libertabus
libertisque
liberto libertis libertabusque
locus monumenti
in fronte
in agro
defuncta
defunctus
defunctae
defuncto
defuncti
defunctis
infelicissimae
infelicissimo
infelicissimi
infelici
infelicibus
infelicissima
infelicissimis
infelicissimus
infelices
carissimae
carissima
carissimo
carissimus
sanctissimae
sanctissimo
sanctissima
dulcissimae
dulcissimo
dulcissimorum
dulcissimus
dulcissimi
dulcissimis
bonae memoriae
levis sit tibi terra
